GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Orne Beans,dev.orne.beans,ValidBeanReference.ValidBeanReferenceValidator,0,88,0,16,0,26,0,13,0,5
Orne Beans,dev.orne.beans,AbstractIdentity,0,59,0,8,0,18,0,11,0,7
Orne Beans,dev.orne.beans,IdentityTokenFormatter,20,238,0,24,5,56,5,19,5,7
Orne Beans,dev.orne.beans,AbstractComposedIdentity,0,140,0,14,0,35,0,18,0,11
Orne Beans,dev.orne.beans,IdentityResolver.InstanceHolder,0,5,0,0,0,1,0,1,0,1
Orne Beans,dev.orne.beans,BeanAnnotationFinder,0,251,0,24,0,63,0,27,0,15
Orne Beans,dev.orne.beans,UnrecognizedIdentityTokenException,0,16,0,0,0,8,0,4,0,4
Orne Beans,dev.orne.beans,TokenIdentity.IdentityXmlAdapter,0,37,0,8,0,13,0,7,0,3
Orne Beans,dev.orne.beans,BeanAnnotationFinder.WeakHashMapCache,0,26,0,0,0,7,0,4,0,4
Orne Beans,dev.orne.beans,BaseIdentityBean,0,71,0,6,0,23,0,10,0,7
Orne Beans,dev.orne.beans,IdentityResolver,17,332,1,29,2,70,1,24,0,10
Orne Beans,dev.orne.beans,StringIdentity,0,39,0,2,0,10,0,6,0,5
Orne Beans,dev.orne.beans,ValidIdentity.ValidIdentityValidator,0,45,0,4,0,17,0,7,0,5
Orne Beans,dev.orne.beans,AbstractSimpleIdentity,0,77,0,8,0,21,0,10,0,6
Orne Beans,dev.orne.beans.rnd,BaseIdentityBeanGenerator,0,34,0,6,0,9,0,7,0,4
Orne Beans,dev.orne.beans.rnd,TokenIdentityGenerator,0,64,0,8,0,14,0,8,0,4
